sido_cd,sido_nm_e,sgg_cd,sgg_nm_e,단지수,평균_취약도,최대_취약도,사각지대_단지수,mc_robust_단지수,평균_고령화율,평균_접근성_취약도,사각지대_비율
28.0,Incheon,28710.0,Ganghwa-gun,2,0.3755,0.4114,1,2,0.0913,0.1632,0.5
51.0,Gangwon-do,51190.0,Taebaek-si,1,0.3661,0.3661,1,1,0.4742,0.5586,1.0
43.0,Chungcheongbuk-do,43770.0,Eumseong-gun,3,0.3525,0.5088,0,1,0.2266,0.4653,0.0
47.0,Gyeongsangbuk-do,47230.0,Yeongcheon-si,2,0.3503,0.3978,1,2,0.4002,0.0633,0.5
29.0,Gwangju,29140.0,Seo-gu,1,0.3477,0.3477,1,1,0.5925,0.0495,1.0
43.0,Chungcheongbuk-do,43745.0,Jeungpyeong-gun,1,0.3472,0.3472,1,1,0.6089,0.2823,1.0
11.0,Seoul,11350.0,Nowon-gu,4,0.3454,0.5111,1,2,0.6315,0.0368,0.25
47.0,Gyeongsangbuk-do,47130.0,Gyeongju-si,2,0.3447,0.5183,1,1,0.3651,0.1182,0.5
45.0,Jeollabuk-do,45210.0,Gimje-si,2,0.3379,0.3504,2,2,0.6996,0.1546,1.0
48.0,Gyeongsangnam-do,48270.0,Miryang-si,2,0.3338,0.4001,1,1,0.4529,0.4441,0.5
46.0,Jellanam-do,46830.0,Yeongam-gun,2,0.3299,0.4541,1,1,0.111,0.4197,0.5
45.0,Jeollabuk-do,45730.0,Muju-gun,1,0.3298,0.3298,1,1,0.2211,0.6028,1.0
46.0,Jellanam-do,46170.0,Naju-si,1,0.3234,0.3234,1,1,0.5104,0.2438,1.0
41.0,Gyeonggi-do,41135.0,"Bundang-gu, Seongnam-si",4,0.3189,0.5211,1,1,0.4785,0.0655,0.25
45.0,Jeollabuk-do,45140.0,Iksan-si,5,0.3154,0.5196,3,2,0.3609,0.0933,0.6
43.0,Chungcheongbuk-do,43150.0,Jecheon-si,3,0.3147,0.6003,1,1,0.3732,0.0486,0.3333
47.0,Gyeongsangbuk-do,47150.0,Gimcheon-si,2,0.3139,0.4181,1,1,0.4154,0.2052,0.5
43.0,Chungcheongbuk-do,43720.0,Boeun-gun,1,0.3064,0.3064,0,0,0.245,0.5137,0.0
41.0,Gyeonggi-do,41820.0,Gapyeong-gun,1,0.3043,0.3043,0,0,0.2986,0.5232,0.0
41.0,Gyeonggi-do,41285.0,"Ilsandong-gu, Goyang-si",1,0.3041,0.3041,0,1,0.5513,0.0574,0.0
26.0,Busan,26530.0,Sasang-gu,2,0.3016,0.31,1,1,0.5298,0.1124,0.5
27.0,Daegu,27260.0,Suseong-gu,1,0.2916,0.2916,0,0,0.4703,0.0795,0.0
44.0,Chungcheongnam-do,44200.0,Asan-si,1,0.2912,0.2912,1,0,0.583,0.0983,1.0
41.0,Gyeonggi-do,41360.0,Namyangju-si,10,0.2882,0.413,3,3,0.2277,0.1507,0.3
46.0,Jellanam-do,46130.0,Yeosu-si,4,0.2878,0.3509,1,2,0.4845,0.0852,0.25
41.0,Gyeonggi-do,41271.0,"Sangnok-gu, Ansan-si",1,0.2872,0.2872,1,0,0.998,0.0577,1.0
41.0,Gyeonggi-do,41287.0,"Ilsanseo-gu, Goyang-si",2,0.2871,0.2934,0,0,0.5123,0.034,0.0
46.0,Jellanam-do,46150.0,Suncheon-si,1,0.2862,0.2862,0,0,0.5429,0.0427,0.0
28.0,Incheon,28185.0,Yeonsu-gu,1,0.283,0.283,0,0,0.5623,0.0153,0.0
50.0,Jeju-do,50110.0,Jeju-si,11,0.2827,0.4078,2,3,0.2362,0.1798,0.1818
41.0,Gyeonggi-do,41171.0,"Manan-gu, Anyang-si",3,0.2814,0.4008,1,1,0.1246,0.0798,0.3333
45.0,Jeollabuk-do,45190.0,Namwon-si,1,0.281,0.281,0,0,0.5264,0.0936,0.0
44.0,Chungcheongnam-do,44131.0,"Dongnam-gu, Cheonan-si",1,0.2807,0.2807,0,0,0.4578,0.3147,0.0
41.0,Gyeonggi-do,41190.0,Bucheon-si,6,0.2792,0.5191,1,1,0.3766,0.0475,0.1667
41.0,Gyeonggi-do,41800.0,Yeoncheon-gun,1,0.277,0.277,0,0,0.271,0.4362,0.0
48.0,Gyeongsangnam-do,48310.0,Geoje-si,2,0.277,0.2932,0,0,0.2598,0.4056,0.0
26.0,Busan,26350.0,Haeundae-gu,2,0.2767,0.3392,1,1,0.551,0.1093,0.5
51.0,Gangwon-do,51110.0,Chuncheon-si,2,0.2746,0.2839,0,0,0.5596,0.0595,0.0
11.0,Seoul,11650.0,Seocho-gu,1,0.2745,0.2745,0,0,0.5518,0.1027,0.0
